x_rel_wpt,y_rel_wpt,yaw,slip_angle,omega_yaw,roll,throttle,reward,crash,laptime,segment_time,delta_t,lap,curvature,v,steer,timestamp
0.199963910526651,8.117998222129802e-05,4.9585895,-1.5707963267948966,0.0,0.0,0.0,0.0,0,0.01,0.01,0.01,1,0.003932875508745069,1.1108573913574218,0.054707582294940944,1769093411.1407402
0.19991108925769194,8.117998222129108e-05,4.9585895,-1.5707963267948966,0.0,1.962248203245976e-06,1.1108573913574218,0.0,0,0.02,0.02,0.01,1,0.003932875508745069,1.375757346153259,0.050239317566156384,1769093411.148765
0.19948087206206494,8.117998222126332e-05,4.9585895,-1.5707963267948966,0.0,9.197284880029397e-05,1.375757346153259,0.0,0,0.03,0.03,0.01,1,0.003932875508745069,1.4535237350463865,0.043408010333776476,1769093411.1570196
0.19839845447366192,6.970031218694189e-05,4.95864725186229,-1.5707963267948966,0.005775186228973439,0.0002772747385847126,1.4535237350463865,0.0,0,0.04,0.04,0.01,1,0.003932875508745069,1.4767056146621704,0.039340476018190386,1769093411.1658313
0.1966708510385435,1.905816770025187e-05,4.958903745132771,-1.5707963267948966,0.02564932704807177,0.0005285962082338978,1.4767056146621704,0.0,0,0.05,0.05,0.01,1,0.003932875508745069,1.4835363403701782,0.03800449314594269,1769093411.175954
0.19432158208687975,-4.684383169035328e-05,4.95924061776576,-1.5707963267948966,0.03368726329888716,0.0008594726585885449,1.4835363403701782,0.0,0,0.060000000000000005,0.060000000000000005,0.01,1,0.003932875508745069,1.4851433188018799,0.037876696061611176,1769093411.1847074
0.19137818338294874,-0.000130263569239078,4.959673544519325,-1.5707963267948966,0.04329267535654324,0.001272005737236367,1.4851433188018799,0.0,0,0.07,0.07,0.01,1,0.003932875508745069,1.4852890789627076,0.038417822389411924,1769093411.1934907
0.18786846922125708,-0.0002263401213086283,4.9601796892277505,-1.5707963267948966,0.05061447084253601,0.0017687962502665054,1.4852890789627076,0.0,0,0.08,0.08,0.01,1,0.003932875508745069,1.4850313830422974,0.039231185125751494,1769093411.2015183
0.18381936721994546,-0.0003364762457478479,4.960773030356773,-1.5707963267948966,0.05933411290222068,0.0023431911315654626,1.4850313830422974,0.0,0,0.09,0.09,0.01,1,0.003932875508745069,1.48478425216864,0.040221923692005154,1769093411.2091684
0.17925662377887985,-0.00045641314208996753,4.961432773162782,-1.5707963267948966,0.06597428060093335,0.0029930948469669657,1.48478425216864,0.0,0,0.09999999999999999,0.09999999999999999,0.01,1,0.003932875508745069,1.4846303251274047,0.04125596795597763,1769093411.2172866
0.17420494124935107,-0.0005949793133591535,4.962060027824374,-1.5707963267948966,0.06272546615919694,0.003708938995532609,1.4846303251274047,0.0,0,0.10999999999999999,0.10999999999999999,0.01,1,0.003932875508745069,1.4848091517642188,0.04206991876808441,1769093411.2248101
0.16868811520974536,-0.0008209788018581632,4.962776541652694,-1.5707963267948966,0.07165138283200534,0.00445998473836199,1.4848091517642188,0.0,0,0.11999999999999998,0.11999999999999998,0.01,1,0.003932875508745069,1.4855101074677726,0.04307974178849712,1769093411.232259
0.16272758886442984,-0.0010515249910530017,4.963437347553776,-1.5707963267948966,0.06608059010817513,0.00528196568800026,1.4855101074677726,0.0,0,0.12999999999999998,0.12999999999999998,0.01,1,0.003932875508745069,1.486127232150317,0.04382078220152479,1769093411.2396927
0.1563439908886296,-0.0013510778601439483,4.964383509860272,-1.5707963267948966,0.09461623064961344,0.006115140741842082,1.486127232150317,0.0,0,0.13999999999999999,0.13999999999999999,0.01,1,0.003932875508745069,1.4876092571560862,0.04529164828739016,1769093411.2471054
0.1495567925980876,-0.0016295830535605835,4.96521833646348,-1.5707963267948966,0.08348266032083274,0.007098893573554124,1.4876092571560862,0.0,0,0.15,0.15,0.01,1,0.003932875508745069,1.4885496814467238,0.04608382472547471,1769093411.2543643
0.14238444620347976,-0.0019586173047165534,4.966297668225743,-1.5707963267948966,0.10793317622628251,0.008021130567387355,1.4885496814467238,0.0,0,0.16,0.16,0.01,1,0.003932875508745069,1.4896688588228912,0.04747386500896048,1769093411.2629147
0.13484485689604345,-0.002260308351679702,4.967251696017052,-1.5707963267948966,0.09540277913089312,0.009087611399107114,1.4896688588228912,0.0,0,0.17,0.17,0.01,1,0.003932875508745069,1.4902650883899962,0.0482298219230216,1769093411.2706082
0.12695476377514792,-0.002603212698171181,4.968434521292531,-1.5707963267948966,0.11828252754790824,0.010067752862976688,1.4902650883899962,0.0,0,0.18000000000000002,0.18000000000000002,0.01,1,0.003932875508745069,1.4911309310240282,0.04960046595440075,1769093411.2783194
0.1187307707695955,-0.0029167997727995616,4.969489188442028,-1.5707963267948966,0.10546671494964244,0.011208119274392168,1.4911309310240282,0.0,0,0.19000000000000003,0.19000000000000003,0.01,1,0.003932875508745069,1.4917547157781414,0.050377109194222155,1769093411.2858424
0.11018790066161058,-0.0032643587291198463,4.970763628967322,-1.5707963267948966,0.12744405252940183,0.012242619971467271,1.4917547157781414,0.0,0,0.20000000000000004,0.20000000000000004,0.01,1,0.003932875508745069,1.4927177688033222,0.05176143240707042,1769093411.2932463
0.10134143004621406,-0.0035817024909976167,4.971908145010032,-1.5707963267948966,0.11445160427108192,0.01345117459298596,1.4927177688033222,0.0,0,0.21000000000000005,0.21000000000000005,0.01,1,0.003932875508745069,1.4941209419787262,0.05255813630134631,1769093411.300725
